id,text,author,trackType,presentationMode,categories
162778a3-cbd7-4621-9ba0-94169fa65b2d,"The foot feels the foot when it's touched by the ground, like the heart feels the heart when it's no longer bound.","Ricky Mathieson, The Reiki Teachers Guidebook",hope,textOverlay,Possibility|Growth|Connection
47c80251-14f1-42bd-91ee-bc90e3f6fdb6,"Always remember, no matter how big you get in life, God is still bigger; when you feel to be at your lowest point, Satan is still at the bottom.",Anthony Liccione,hope,textOverlay,Self-Worth|Agency|Possibility
06efbde3-f73f-4979-b56e-5e569ba0c4e6,"During Christmas, open your heart with love to appreciate the beauty of life and all the presents that you have received from the earth.",Debasish Mridha,hope,textOverlay,Mindfulness|Connection
e9dadd5b-7dc7-4916-8eda-9f6bfc92a7ba,"Happiness depends on our thoughts and actions, not on wealth, splendor, or external conditions.",Debasish Mridha,hope,textOverlay,Growth|Agency|Possibility
9041418b-e672-47f7-97cf-deda1b1121f1,"Don't let anyone fool you. The stars are always shining. And you don't just see them in the dark. The sun is a star, and it provides light for all of us.",Halle Teart,hope,textOverlay,Self-Worth|Connection
ae7d96d7-90d6-4190-934f-fa6d1bffb98d,Life gives us the greatest opportunity to serve and be happy.,Debasish Mridha,hope,textOverlay,Growth|Possibility|Connection
34ba70ab-2d28-4a13-a0ca-a0ebf1ec487d,"Your love is blissful, graceful, and divine. When it touches me, it burns me with joy to purify.",Debasish Mridha,hope,textOverlay,Growth|Possibility|Connection
c869eff6-900b-4f33-beed-ba152557bb30,Your personal truth is your gift to the world.,Jennifer Elisabeth,hope,textOverlay,Connection|Self-Worth|Purpose
a46fe19b-00f3-4a66-8f2e-c06d21265b41,Take every moment as a gift of life to enjoy. Stress will melt away to fill your heart with gratitude.,Debasish Mridha,hope,textOverlay,Mindfulness|Agency
66fb4651-22d4-4a02-8387-837b6b862fd1,There is a universal truth that all successful people know: Nothing is ever done until you take action.,John Patrick Hickey,hope,textOverlay,Growth|Purpose|Agency
ae2b4bcd-5d1b-4887-b5c9-1123fea4dd8c,Your life today is the result of a series of decisions you made that have caused you to arrive where you are.,"Chris Prentiss, Zen and the Art of Happiness",hope,textOverlay,Mindfulness|Agency
98a3ffe8-2435-40d2-9518-6a2aac114d1b,We fool ourselvesinto thinkingwe’re strongthen complainthe rest of our livescrippled bythe consequences.,Barry Gifford,hope,textOverlay,Agency|Resilience|Connection
2e79c42b-dd2f-4649-b84b-00ed0215cf19,Do all the work while you still have strength.,"Lailah Gifty Akita, Pearls of  Wisdom: Great  mind",hope,textOverlay,Purpose|Agency|Resilience
